Name,ID,Type,Description,Latitude [deg],Longitude [deg],Altitude [m],x [m],y [m],z [m],vx [m/y],vy [m/y],vz [m/y],Azimuth [deg],Elevation [deg],RCS_HH [dB],RCS_HV [dB],RCS_VH [dB],RCS_VV [dB],Delay [s],Plate,Reference frame,Survey Time [UTC],Validity Start [UTC],Validity Stop [UTC]
SB19-CRApex,19,CR,"Surat Basin, Queensland, Australia",-26.914870692,150.670436758,359.7925,-4961929.7791,2787872.5986,-2869970.7827,-0.0328,-0.0081,0.0488,256.56,56.07,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB20-CRApex,20,CR,"Surat Basin, Queensland, Australia",-27.023911789,150.576833939,357.7502,-4952594.1799,2793282.2333,-2880738.6086,-0.0329,-0.0080,0.0488,256.50,56.93,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB21-CRApex,21,CR,"Surat Basin, Queensland, Australia",-27.237809878,150.670032397,388.7727,-4947731.9551,2779941.4574,-2901847.1898,-0.0329,-0.0078,0.0487,256.61,56.26,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB22-CRApex,22,CR,"Surat Basin, Queensland, Australia",-27.424348239,150.746291272,413.0829,-4943165.9721,2768726.2931,-2920222.1494,-0.0330,-0.0076,0.0485,256.28,56.17,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB23-CRApex,23,CR,"Surat Basin, Queensland, Australia",-27.603355556,150.859533225,381.6017,-4940599.9636,2754474.9134,-2937801.3187,-0.0330,-0.0075,0.0484,256.67,56.44,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB24-CRApex,24,CR,"Surat Basin, Queensland, Australia",-27.509688500,150.443214533,337.3080,-4924598.3305,2792650.3507,-2928578.3415,-0.0331,-0.0075,0.0486,257.66,57.02,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB25-CRApex,25,CR,"Surat Basin, Queensland, Australia",-27.611298086,150.296827667,316.2926,-4912905.6949,2802632.4604,-2938551.0250,-0.0333,-0.0073,0.0486,256.52,57.72,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB26-CRApex,26,CR,"Surat Basin, Queensland, Australia",-27.258831019,150.485119703,355.3122,-4937780.3918,2795354.8632,-2903902.8093,-0.0330,-0.0077,0.0487,256.71,56.27,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB27-CRApex,27,CR,"Surat Basin, Queensland, Australia",-26.766765008,150.621767764,353.2136,-4966011.7183,2795718.6233,-2855324.7027,-0.0327,-0.0082,0.0489,256.66,56.25,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB28-CRApex,28,CR,"Surat Basin, Queensland, Australia",-26.559895989,150.659249961,370.9227,-4976820.0647,2797517.3361,-2834848.1859,-0.0326,-0.0085,0.0490,254.67,55.44,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB29-CRApex,29,CR,"Surat Basin, Queensland, Australia",-26.670527386,150.497016319,382.3580,-4964108.2091,2808898.5564,-2845812.7580,-0.0328,-0.0083,0.0490,256.63,56.06,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB30-CRApex,30,CR,"Surat Basin, Queensland, Australia",-26.900130550,150.388478883,338.8747,-4948776.7814,2812612.8792,-2868504.8151,-0.0329,-0.0080,0.0489,257.64,55.87,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB31-CRApex,31,CR,"Surat Basin, Queensland, Australia",-27.207300692,150.331555681,333.3380,-4932524.0922,2809862.7820,-2898815.4792,-0.0331,-0.0077,0.0488,256.97,56.71,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB32-CRApex,32,CR,"Surat Basin, Queensland, Australia",-27.369818422,150.194663150,322.1841,-4918623.5122,2817530.6952,-2914815.3006,-0.0332,-0.0075,0.0488,256.44,58.18,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB34-CRApex,34,CR,"Surat Basin, Queensland, Australia",-27.194269531,150.110867200,316.9538,-4922224.3108,2829162.3631,-2897523.6695,-0.0332,-0.0077,0.0489,256.72,58.01,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB35-CRApex,35,CR,"Surat Basin, Queensland, Australia",-27.085635667,150.259633119,371.1494,-4934363.3583,2819120.4921,-2886835.9213,-0.0331,-0.0078,0.0489,256.92,57.22,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB36-CRApex,36,CR,"Surat Basin, Queensland, Australia",-26.865806883,150.217619406,337.1187,-4941858.6484,2828211.3354,-2865111.7164,-0.0330,-0.0080,0.0490,257.48,57.09,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB37-CRApex,37,CR,"Surat Basin, Queensland, Australia",-26.813256386,150.158932542,343.3239,-4941244.4236,2834582.6408,-2859918.8393,-0.0330,-0.0081,0.0490,256.52,57.43,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB38-CRApex,38,CR,"Surat Basin, Queensland, Australia",-26.647021089,150.310322464,388.4128,-4955949.2062,2825640.2821,-2843487.7462,-0.0329,-0.0083,0.0490,256.86,56.27,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB39-CRApex,39,CR,"Surat Basin, Queensland, Australia",-26.462084544,150.384487339,374.2237,-4967555.5822,2823743.5891,-2825151.5218,-0.0327,-0.0085,0.0491,257.38,57.18,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB40-CRApex,40,CR,"Surat Basin, Queensland, Australia",-26.565935628,150.134804969,350.7873,-4950730.3110,2842795.8086,-2835437.7525,-0.0329,-0.0083,0.0491,256.13,56.74,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB41-CRApex,41,CR,"Surat Basin, Queensland, Australia",-26.770861503,149.952525394,387.4865,-4932867.8771,2853444.9610,-2855745.4107,-0.0331,-0.0080,0.0491,256.77,58.68,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB42-CRApex,42,CR,"Surat Basin, Queensland, Australia",-26.966789519,150.007075042,318.3996,-4927030.9345,2843811.4897,-2875080.7264,-0.0331,-0.0079,0.0490,255.85,58.67,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
